"","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","deploy_id","fileName"
"84",1,"rotated",357,244.141006060637,3.12113091824654,1.55119559072051,0.108628044651674,0.389826593568369,0.610173406431631,1.8864546511314e-58,TRUE,339,225.169699406921,79.6599759779602,0.0552561292687902,0.0768535098431558,0.972382474386205,0.0276175256137949,0.772159072726562,FALSE,324,70.94815705912,0.617283950617284,339,0.635129368280925,0.445896409165704,0.565355165896432,0.438157763212301,0,208,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/208/stats.csv"
"86",1,"rotated",388,112.438157578093,7.90156636599675,0.529547999131262,0.0755739937548368,0.74406569439292,0.25593430560708,9.17151079453069e-12,TRUE,380,150.869687317023,46.3752812043817,0.0896762369418538,0.072657018457988,0.955206893610051,0.0447931063899491,0.466526476618952,FALSE,372,44.8503293367458,0.387096774193548,380,0.66221241125934,0.482162231564336,0.562920961929007,0.309824962266019,0,210,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/210/stats.csv"
"88",1,"rotated",232,261.258693665199,2.05318901123236,3.9042194954336,0.325643734748007,0.139083994137384,0.860916005862616,2.09795766630588e-75,TRUE,221,353.719688720744,45.4600046605285,0.120005827268668,0.0953871883482827,0.940104842384617,0.0598951576153828,0.452565846557096,FALSE,211,59.9775419402485,0.497630331753554,221,0.557959521837849,0.317825427801338,0.515712846720301,0.257963445572309,0,215,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/215/stats.csv"
"90",1,"rotated",347,216.031116105375,4.24744401866443,1.09481997889751,0.0930165984485399,0.518972724906063,0.481027275093937,1.34865282720948e-35,TRUE,326,83.5241570005113,101.434548365416,0.0442482463909307,0.0783547992820999,0.977881289660029,0.0221187103399715,0.852577320711305,FALSE,309,43.3273521006379,0.362459546925566,326,0.470938906956991,0.249836066185296,0.458093446799807,0.234354512745291,0,217,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/217/stats.csv"
"92",1,"rotated",80,183.524420968097,1.49713991299704,18.8145914551225,2.93267521292916,0.0269480007562322,0.973051999243768,1.26984216119101e-33,TRUE,71,158.876214693958,29.1782043757767,0.331821652862025,0.171302479331687,0.836330283641764,0.163669716358236,0.149279916721987,FALSE,65,72.2571841500878,0.584615384615385,71,0.340889256606059,0.243086891618935,0.306774338380707,0.208625689390584,0,223,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/223/stats.csv"
"94",1,"rotated",410,183.258970135995,0.649090634398682,19.5110139944291,1.34412613396036,0.0259725994528137,0.974027400547186,1.17097430213368e-169,TRUE,409,78.2198858751164,47.2033196897291,0.0849178556973785,0.0700229105543026,0.957579297754231,0.0424207022457694,0.479025218169815,FALSE,408,84.8058225212319,0.696078431372549,409,0.208422173451698,0.14328901432559,0.183643209870182,0.128762390952937,0,227,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/227/stats.csv"
"96",1,"rotated",397,238.067026427007,5.59838139504727,0.751015551358073,0.0784946667721916,0.648452547024367,0.351547452975633,4.9203723251675e-22,TRUE,395,159.470326471405,127.113466292683,0.0320756483851358,0.0711705335235046,0.983964238012563,0.0160357619874365,0.903415646180739,FALSE,393,41.5817570919171,0.32824427480916,395,0.573331752926512,0.298851703448531,0.543439682599765,0.261402138997922,0,229,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/229/stats.csv"
"98",1,"rotated",370,172.41050922717,13.6031246205471,0.311534498788436,0.0748598064640654,0.846091608888102,0.153908391111898,0.000156182813375041,TRUE,368,272.712887097177,161.043746915432,0.0262294103322127,0.0737304878570578,0.986886422539642,0.0131135774603581,0.938677361980708,FALSE,366,68.9203316661231,0.64207650273224,368,0.649141761643664,0.330505690060746,0.611030661189073,0.34382893036699,0,234,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/234/stats.csv"
"100",1,"rotated",372,184.970711625937,3.80294494685699,1.19416717104936,0.0929685274604039,0.485846631197896,0.514153368802104,1.95734226289305e-43,TRUE,372,144.979086776526,45.2154459501417,0.0929637665065336,0.0734423763225046,0.953568257919542,0.0464317420804582,0.448432422988495,FALSE,372,52.5035703969466,0.510752688172043,372,0.440772682178698,0.286759929061765,0.391715031838619,0.178357554908986,0,240,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/240/stats.csv"
"102",1,"rotated",390,101.480868016744,13.0986103444349,0.315172856375066,0.0729456994670572,0.844337564944175,0.155662435055825,7.86888147241909e-05,TRUE,360,218.455848850805,21.4206666730685,0.199863349084193,0.0750939286814662,0.900563964106865,0.0994360358931354,0.028452789207404,TRUE,334,70.0691320249017,0.601796407185629,360,0.511919011239481,0.309883155097585,0.455214558344888,0.268947310645963,0,246,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/246/stats.csv"
"104",1,"rotated",562,222.958500030285,10.7200538814834,0.320876298541071,0.060807049504082,0.841590925903879,0.158409074096121,7.50511897775546e-07,TRUE,542,217.311704700334,26.7327588992041,0.130333022856128,0.0609391605649941,0.934971466498878,0.0650285335011224,0.101068081823952,FALSE,522,52.0985925746916,0.442528735632184,542,0.450435981695953,0.257871106068048,0.404830800629931,0.20735657407047,0,254,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/254/stats.csv"
"106",1,"rotated",649,262.105218281379,3.69554564172582,0.90203233908419,0.0639975089682299,0.588682888140759,0.411317111859241,2.06497475235277e-48,TRUE,647,215.946311287415,8.78082755862077,0.365790235966044,0.056993935150803,0.820094801954566,0.179905198045434,8.04560827245086e-10,TRUE,645,91.8202747706838,0.713178294573643,647,0.168275911611264,0.259840359077482,0.0745820095099214,0.082931465474557,0,258,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/258/stats.csv"
"108",1,"rotated",403,117.913542119598,5.65971897432136,0.736430689276426,0.0776208819028478,0.654464563257728,0.345535436742272,1.26897250378315e-21,TRUE,370,333.705600626849,18.430298663749,0.229310487773271,0.0742464667228059,0.886091731670059,0.113908268329941,0.00822329227726359,TRUE,339,34.1685321870839,0.277286135693215,370,0.930115827757701,0.365787265488055,0.896448198582517,0.406585084833461,0,268,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/268/stats.csv"
"110",1,"rotated",63,240.032695183107,2.57596678879045,8.36997217367642,1.43865873917109,0.0617624550969886,0.938237544903011,8.21841043734601e-25,TRUE,62,165.744044702813,238.675357159754,0.0431205870366715,0.179667919069946,0.978444716039241,0.0215552839607595,0.97160389157974,FALSE,61,93.9605244427155,0.836065573770492,62,0.0817958172122564,0.106550571376739,0.0543032957702073,0.0417315909095772,0,270,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/270/stats.csv"
"112",1,"rotated",671,166.512021509796,2.06762653335513,1.75313503779086,0.0859923344392981,0.345739099264669,0.654260900735331,1.81606254969361e-125,TRUE,667,94.2699499938673,12.2091647355136,0.258037980084563,0.0554423505006568,0.872042826430861,0.127957173569139,1.80779693390804e-05,TRUE,663,80.3997560531385,0.654600301659125,667,0.323664930858679,0.405242186273803,0.159703242261189,0.174808897460416,0,281,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/281/stats.csv"
